
Employee Wage for day0 of emp 1 of month 1 : 0
Employee Wage for day1 of emp 1 of month 1 : 208
Employee Wage for day10 of emp 1 of month 1 : 0
Employee Wage for day11 of emp 1 of month 1 : 416
Employee Wage for day12 of emp 1 of month 1 : 416
Employee Wage for day13 of emp 1 of month 1 : 416
Employee Wage for day14 of emp 1 of month 1 : 0
Employee Wage for day15 of emp 1 of month 1 : 416
Employee Wage for day16 of emp 1 of month 1 : 416
Employee Wage for day17 of emp 1 of month 1 : 0
Employee Wage for day18 of emp 1 of month 1 : 208
Employee Wage for day19 of emp 1 of month 1 : 0
Employee Wage for day2 of emp 1 of month 1 : 0
Employee Wage for day20 of emp 1 of month 1 : 208
Employee Wage for day21 of emp 1 of month 1 : 416
Employee Wage for day22 of emp 1 of month 1 : 0
Employee Wage for day23 of emp 1 of month 1 : 0
Employee Wage for day24 of emp 1 of month 1 : 0
Employee Wage for day3 of emp 1 of month 1 : 208
Employee Wage for day4 of emp 1 of month 1 : 416
Employee Wage for day5 of emp 1 of month 1 : 416
Employee Wage for day6 of emp 1 of month 1 : 416
Employee Wage for day7 of emp 1 of month 1 : 416
Employee Wage for day8 of emp 1 of month 1 : 0
Employee Wage for day9 of emp 1 of month 1 : 0
Employee Wage for day0 of emp 1 of month 2 : 416
Employee Wage for day1 of emp 1 of month 2 : 208
Employee Wage for day10 of emp 1 of month 2 : 416
Employee Wage for day11 of emp 1 of month 2 : 208
Employee Wage for day12 of emp 1 of month 2 : 0
Employee Wage for day13 of emp 1 of month 2 : 208
Employee Wage for day14 of emp 1 of month 2 : 208
Employee Wage for day15 of emp 1 of month 2 : 0
Employee Wage for day16 of emp 1 of month 2 : 416
Employee Wage for day17 of emp 1 of month 2 : 416
Employee Wage for day18 of emp 1 of month 2 : 0
Employee Wage for day19 of emp 1 of month 2 : 0
Employee Wage for day2 of emp 1 of month 2 : 0
Employee Wage for day20 of emp 1 of month 2 : 0
Employee Wage for day21 of emp 1 of month 2 : 208
Employee Wage for day22 of emp 1 of month 2 : 0
Employee Wage for day23 of emp 1 of month 2 : 208
Employee Wage for day24 of emp 1 of month 2 : 416
Employee Wage for day3 of emp 1 of month 2 : 208
Employee Wage for day4 of emp 1 of month 2 : 0
Employee Wage for day5 of emp 1 of month 2 : 208
Employee Wage for day6 of emp 1 of month 2 : 416
Employee Wage for day7 of emp 1 of month 2 : 0
Employee Wage for day8 of emp 1 of month 2 : 416
Employee Wage for day9 of emp 1 of month 2 : 416
Employee Wage for day0 of emp 2 of month 1 : 0
Employee Wage for day1 of emp 2 of month 1 : 208
Employee Wage for day10 of emp 2 of month 1 : 0
Employee Wage for day11 of emp 2 of month 1 : 416
Employee Wage for day12 of emp 2 of month 1 : 208
Employee Wage for day13 of emp 2 of month 1 : 208
Employee Wage for day14 of emp 2 of month 1 : 208
Employee Wage for day15 of emp 2 of month 1 : 208
Employee Wage for day16 of emp 2 of month 1 : 208
Employee Wage for day17 of emp 2 of month 1 : 416
Employee Wage for day18 of emp 2 of month 1 : 0
Employee Wage for day19 of emp 2 of month 1 : 416
Employee Wage for day2 of emp 2 of month 1 : 0
Employee Wage for day20 of emp 2 of month 1 : 208
Employee Wage for day21 of emp 2 of month 1 : 0
Employee Wage for day22 of emp 2 of month 1 : 208
Employee Wage for day23 of emp 2 of month 1 : 208
Employee Wage for day24 of emp 2 of month 1 : 0
Employee Wage for day3 of emp 2 of month 1 : 416
Employee Wage for day4 of emp 2 of month 1 : 416
Employee Wage for day5 of emp 2 of month 1 : 208
Employee Wage for day6 of emp 2 of month 1 : 416
Employee Wage for day7 of emp 2 of month 1 : 0
Employee Wage for day8 of emp 2 of month 1 : 208
Employee Wage for day9 of emp 2 of month 1 : 208
Employee Wage for day0 of emp 2 of month 2 : 416
Employee Wage for day1 of emp 2 of month 2 : 208
Employee Wage for day10 of emp 2 of month 2 : 208
Employee Wage for day11 of emp 2 of month 2 : 0
Employee Wage for day12 of emp 2 of month 2 : 208
Employee Wage for day13 of emp 2 of month 2 : 416
Employee Wage for day14 of emp 2 of month 2 : 208
Employee Wage for day15 of emp 2 of month 2 : 208
Employee Wage for day16 of emp 2 of month 2 : 0
Employee Wage for day17 of emp 2 of month 2 : 0
Employee Wage for day18 of emp 2 of month 2 : 416
Employee Wage for day19 of emp 2 of month 2 : 208
Employee Wage for day2 of emp 2 of month 2 : 416
Employee Wage for day20 of emp 2 of month 2 : 208
Employee Wage for day21 of emp 2 of month 2 : 416
Employee Wage for day22 of emp 2 of month 2 : 416
Employee Wage for day23 of emp 2 of month 2 : 208
Employee Wage for day24 of emp 2 of month 2 : 208
Employee Wage for day3 of emp 2 of month 2 : 208
Employee Wage for day4 of emp 2 of month 2 : 208
Employee Wage for day5 of emp 2 of month 2 : 0
Employee Wage for day6 of emp 2 of month 2 : 0
Employee Wage for day7 of emp 2 of month 2 : 208
Employee Wage for day8 of emp 2 of month 2 : 208
Employee Wage for day9 of emp 2 of month 2 : 416
Employee Wage for day0 of emp 3 of month 1 : 208
Employee Wage for day1 of emp 3 of month 1 : 416
Employee Wage for day10 of emp 3 of month 1 : 208
Employee Wage for day11 of emp 3 of month 1 : 416
Employee Wage for day12 of emp 3 of month 1 : 208
Employee Wage for day13 of emp 3 of month 1 : 416
Employee Wage for day14 of emp 3 of month 1 : 208
Employee Wage for day15 of emp 3 of month 1 : 0
Employee Wage for day16 of emp 3 of month 1 : 0
Employee Wage for day17 of emp 3 of month 1 : 208
Employee Wage for day18 of emp 3 of month 1 : 0
Employee Wage for day19 of emp 3 of month 1 : 0
Employee Wage for day2 of emp 3 of month 1 : 0
Employee Wage for day20 of emp 3 of month 1 : 208
Employee Wage for day21 of emp 3 of month 1 : 208
Employee Wage for day22 of emp 3 of month 1 : 416
Employee Wage for day23 of emp 3 of month 1 : 416
Employee Wage for day24 of emp 3 of month 1 : 416
Employee Wage for day3 of emp 3 of month 1 : 0
Employee Wage for day4 of emp 3 of month 1 : 416
Employee Wage for day5 of emp 3 of month 1 : 0
Employee Wage for day6 of emp 3 of month 1 : 416
Employee Wage for day7 of emp 3 of month 1 : 416
Employee Wage for day8 of emp 3 of month 1 : 208
Employee Wage for day9 of emp 3 of month 1 : 416
Employee Wage for day0 of emp 3 of month 2 : 208
Employee Wage for day1 of emp 3 of month 2 : 208
Employee Wage for day10 of emp 3 of month 2 : 208
Employee Wage for day11 of emp 3 of month 2 : 0
